,0,1
Topics,Words,Percent
Home,2, 0.13898540653231412
Ingest,44, 3.0576789437109104
Ipron,84, 5.837387074357193
Achieve,10, 0.6949270326615705
Assent,2, 0.13898540653231412
CogProc,101, 7.018763029881862
Male,2, 0.13898540653231412
Bio,50, 3.4746351633078527
Ppron,68, 4.72550382209868
Health,4, 0.27797081306462823
Sad,2, 0.13898540653231412
Cause,16, 1.111883252258513
Money,7, 0.4864489228630994
Affiliation,22, 1.5288394718554552
Feel,6, 0.4169562195969423
Number,17, 1.18137595552467
Motion,29, 2.0152883947185547
Time,42, 2.9186935371785965
Sexual,1, 0.06949270326615706
Negemo,6, 0.4169562195969423
FocusFuture,22, 1.5288394718554552
Filler,0, 0.0
I,7, 0.4864489228630994
Relig,1, 0.06949270326615706
Friend,2, 0.13898540653231412
Auxverb,105, 7.29673384294649
Tentat,14, 0.9728978457261988
Adj,79, 5.489923558026407
Netspeak,10, 0.6949270326615705
Prep,149, 10.3544127866574
Drives,65, 4.517025712300208
We,19, 1.320361362056984
Function,602, 41.83460736622654
SheHe,6, 0.4169562195969423
Posemo,46, 3.1966643502432244
Family,3, 0.20847810979847115
Nonflu,6, 0.4169562195969423
Insight,13, 0.9034051424600417
Death,0, 0.0
Relativ,155, 10.771369006254343
Pronoun,152, 10.562890896455873
Compare,57, 3.9610840861709518
Female,6, 0.4169562195969423
Social,90, 6.254343293954134
Power,10, 0.6949270326615705
You,27, 1.8763029881862403
Work,5, 0.34746351633078526
Anger,0, 0.0
Reward,20, 1.389854065323141
Swear,0, 0.0
Affect,52, 3.6136205698401667
Hear,13, 0.9034051424600417
Informal,21, 1.4593467685892982
Verb,195, 13.551077136900624
Article,75, 5.2119527449617795
Adverb,94, 6.532314107018763
Differ,41, 2.8492008339124393
Interrog,17, 1.18137595552467
Quant,28, 1.9457956914523975
Space,87, 6.045865184155664
Percept,56, 3.891591382904795
Negate,14, 0.9728978457261988
They,9, 0.6254343293954135
See,22, 1.5288394718554552
Discrep,7, 0.4864489228630994
Leisure,10, 0.6949270326615705
Risk,6, 0.4169562195969423
Body,4, 0.27797081306462823
Conj,82, 5.698401667824879
Certain,15, 1.0423905489923557
FocusPresent,151, 10.493398193189716
FocusPast,27, 1.8763029881862403
Anx,0, 0.0
